n,Site_ID,Unit,Association,Landscape,Area_ha,Elig_prop,Elig_ha,Fire_elig,fire,sand,bulkdens,map,mat,cattle,goat,sheep,geom
15,TSTALTS003,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.46,0.46,757,15.5,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3510337228999, -30.8771620888755)"
16,TSTALTS003,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.46,0.46,757,15.5,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3518107802771, -30.8771620888755)"
17,TSTALTS003,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.43,0.43,757,15.5,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3525878376543, -30.8771620888755)"
18,TSTALTS003,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.49,0.49,757,15.3,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3494796081455, -30.8763850314984)"
19,TSTALTS003,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.47,0.47,757,15.5,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3502566655227, -30.8763850314983)"
20,TSTALTS003,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.44,0.44,757,15.5,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3510337228999, -30.8763850314983)"
21,TSTALTS003,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.44,0.44,757,15.5,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3518107802771, -30.8763850314984)"
1,TSTALTS004,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.45,0.45,762,15.5,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3591360171729, -30.8938099992266)"
2,TSTALTS004,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.4,0.4,762,15.5,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3599131293346, -30.8938099992266)"
3,TSTALTS004,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.47,0.47,762,15.5,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3606902414964, -30.8938099992266)"
