n,Association,Landscape,Area_ha,Elig_prop,Elig_ha,Fire_elig,fire,sand,bulkdens,map,mat,cattle,goat,sheep,geom
49,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.42,0.42,769,14.8,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3758712394768, -30.8929167158597)"
50,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.30000001192092896,0.39,0.39,758,14.8,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.3226145857408, -30.9006533055299)"
51,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.51,0.51,757,15.5,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3531293448575, -30.8802932418989)"
52,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.5,0.39,0.39,757,13.9,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.2948495012266, -30.8672629009127)"
53,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.44,0.44,755,15.4,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3518924096, -30.8638983211919)"
54,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.30000001192092896,0.41,0.41,767,13.9,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.3322201656278, -30.8980428026709)"
55,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.6000000238418579,0.38,0.38,798,12.8,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3920003910017, -30.8419970735189)"
56,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.42,0.42,755,15.5,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3570028977159, -30.8672776260826)"
57,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.47,0.47,752,15.5,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3432316334388, -30.8636316724774)"
58,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.44,0.44,754,15.3,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3618436220947, -30.8533922732019)"
59,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.699999988079071,0.39,0.39,757,14.2,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.3030489327884, -30.8898593642428)"
60,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.4000000059604645,0.4,0.4,758,14.8,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.3182796798737, -30.9048842733687)"
61,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.43,0.43,761,14.9,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.366682652677, -30.8598454201504)"
62,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.10000000149011612,0.43,0.43,759,14.7,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3372131219305, -30.8891660402845)"
63,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.10000000149011612,0.43,0.43,780,13.9,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3885837571115, -30.9044989436489)"
64,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.42,0.42,771,15.2,29.304004669189453,14.095439910888672,9.67866039276123,"c(28.3698949415521, -30.9208822208332)"
65,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.6000000238418579,0.4,0.4,769,13.8,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.3217715689229, -30.8997523941866)"
66,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.41,0.41,783,13.5,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3921821110396, -30.8605303275266)"
67,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.39,0.39,769,15.5,29.304004669189453,14.095439910888672,9.67866039276123,"c(28.3653106490945, -30.9228914120801)"
68,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.6000000238418579,0.41,0.41,760,14,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.3076617270834, -30.8766113978437)"
69,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.47,0.47,754,15.4,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3422455108597, -30.8678291971174)"
70,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.6000000238418579,0.38,0.38,757,13.9,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.2932137036767, -30.8714221766458)"
71,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.30000001192092896,0.35,0.35,787,13.2,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3880909012431, -30.844580617638)"
72,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.20000000298023224,0.38,0.38,787,13.2,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3888086323821, -30.846379699509)"
73,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.46,0.46,758,15.2,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.363446532106, -30.8584867845528)"
74,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.30000001192092896,0.38,0.38,773,13.7,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3773198264094, -30.838782368756)"
75,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.20000000298023224,0.41,0.41,765,14.3,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3765448003115, -30.84464172323)"
76,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.10000000149011612,0.48,0.48,757,15,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3385063339724, -30.8798857351465)"
77,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.10000000149011612,0.41,0.41,772,14.8,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3862203718899, -30.9088371105757)"
78,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.10000000149011612,0.39,0.39,773,15.5,29.304004669189453,14.095439910888672,9.67866039276123,"c(28.3759771134074, -30.9261136920959)"
79,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.30000001192092896,0.38,0.38,760,14.5,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.3133466547874, -30.906020356446)"
